title,type,hindex,year,id,link,deadline,timezone,date,place,sub,abstract_deadline,note
ACL,conf,135,2021,acl21,https://2021.aclweb.org/,2021-02-01 23:59:59,UTC-12,"August 2-4, 2021","Bangkok, Thailand",NLP,,
AKBC,conf,,2021,akbc21,https://www.akbc.ws/2021/,2021-05-01 23:59:59,UTC-12,"Early October 2021","Irvine",KG,,
ICML,conf,135,2021,icml21,https://icml.cc/Conferences/2021,2021-02-04 23:59:00,UTC-12,"July 18-24, 2021","Vienna, Austria",ML,2021-01-28 23:59:00,"<b>NOTE</b>: Mandatory abstract deadline on Jan 28, 2021. More info <a href='https://icml.cc/Conferences/2021/'>here</a>."
KDD,conf,30,2021,kdd21,https://www.kdd.org/kdd2021/,2021-02-08 23:59:59,UTC-12,"August 14-18, 2021",Singapore,DM,,
SIGIR,conf,57,2021,sigir21,http://sigir.org/sigir2021/,2021-02-09 23:59:00,UTC-12,"July 11-15, 2021","Montreal, Canada",DM,2021-02-02 23:59:00,
UAI,conf,33,2021,uai21,http://auai.org/uai2021/,2021-02-19 23:59:59,UTC,"July 26-30, 2021",TBD,ML,,
ECML-PKDD,conf,30,2021,ecmlpkdd2021,https://2021.ecmlpkdd.org/,2021-04-02 23:59:59,UTC-12,"September 13-17, 2021","Bilbao, Basque Country (Spain)",ML,2021-03-26 23:59:59,"<b>NOTE</b>: Mandatory abstract deadline on Mar 26, 2021. More info <a href='https://2021.ecmlpkdd.org/?page_id=1599/'>here</a>."
ALT,conf,15,2020,alt20,http://alt2020.algorithmiclearningtheory.org/,2019-09-20 16:59:59,America/New_York,"February 08-10, 2020","San Diego, CA, United States",ML,,
LREC,conf,45,2020,lrec20,https://lrec2020.lrec-conf.org/en/,2019-12-02 23:59:59,Europe/Paris,"May 11-16, 2020","Marseille, France",NLP,,
COLT,conf,48,2020,colt20,http://www.learningtheory.org/colt2020/,2020-01-31 16:00:00,America/Los_Angeles,"June 8-12, 2020","Graz, Austria",ML,,
ICCC,conf,22,2020,iccc20,http://computationalcreativity.net/iccc20/,2020-03-08 23:59:59,UTC-12,"June 29-July 3, 2020","Coimbra, Portugal",ML,,
CIKM,conf,48,2020,cikm21,https://cikm2021.org/,2020-06-01 23:59:59,UTC-12,"November 1-5, 2021","Queensland, Australia",DM,,Date not announced yet
RecSys,conf,45,2021,recsys21,https://recsys.acm.org/recsys21/,2021-05-04 23:59:59,UTC-12,"September 27-Oct 1st, 2021",Amsterdam,DM,2021-04-27 23:59:59,"<b>NOTE</b>: Mandatory abstract deadline on April 27th, 2021. More info <a href='https://recsys.acm.org/recsys21/dates/'>here</a>."
EMNLP,conf,88,2021,emnlp21,https://2021.emnlp.org/,2021-05-17 23:59:00,UTC-12,"November 7-11, 2021","Dominican Republic/Online",NLP,2021-05-10,
ML4H @ NeurIPS,workshop,,2020,ml4h20,https://ml4health.github.io/2020/,2020-09-28 13:00:00,America/Los_Angeles,"December 6-12, 2020","Virtual",ML,2020-10-02 13:00:00,"<b>NOTE</b>: Mandatory abstract deadline on May 27, 2020"
NeurIPS,conf,169,2020,neurips20,https://nips.cc/Conferences/2020,2020-06-05 13:00:00,America/Los_Angeles,"December 6-12, 2020","Vancouver Convention Centre, Canada",ML,2020-05-27 13:00:00,"<b>NOTE</b>: Mandatory abstract deadline on May 27, 2020"
ICDM,conf,44,2020,icdm20,http://icdm2020.bigke.org/,2020-06-11 23:59:59,UTC-7,"November 17-20, 2020","Sorrento, Italy",DM,,
AACL-IJCNLP,conf,-1,2020,aacl20,http://aacl2020.org,2020-06-26 23:59:00,UTC-12,"December 4-7, 2020","Suzhou, China",NLP,,
COLING,conf,41,2020,coling20,https://coling2020.org/,2020-07-01 23:59:59,UTC-12,"December 8-13, 2020","Barcelona, Spain",NLP,,
ICPR,conf,38,2020,icpr20,https://www.micc.unifi.it/icpr2020/,2020-07-15 23:59:00,UTC+1,"January 10-15, 2021","Milan, Italy",ML,,
CoNLL,conf,34,2020,conll2020,http://www.conll.org/2020,2020-07-17 23:59:59,UTC-12,"November 19-20, 2020",Online,NLP,,
WMT,conf,27,2020,wmt20,http://www.statmt.org/wmt20/,2020-08-15 23:59:00,UTC-12,"November 19-20, 2020",Online,NLP,,
DLG-AAAI,workshop,,2021,dlg-aaai21,https://deep-learning-graphs.bitbucket.io/dlg-aaai21/index.html,2020-11-15,UTC,"February 8th, 2021","Vancouver",GRML,,
AAAI,conf,95,2021,aaai21,https://aaai.org/Conferences/AAAI-21/,2020-09-09 23:59:59,UTC-12,"February 2-9, 2021","Vancouver, Canada",ML,,"<b>NOTE</b>: Mandatory abstract deadline on September 01, 2020"
ICLR,conf,150,2021,iclr21,http://iclr.cc/,2020-10-02 07:59:59,UTC-7,"May 4, 2021","Vienna, Austria",ML,2020-09-28 07:59:59,"<b>NOTE</b>: Mandatory abstract deadline on September 28, 2020. More info <a href='https://iclr.cc/Conferences/2021/CallForPapers'>here</a>."
Geometrical & Topological Learning @ICLR,workshop,,2021,iclr21-gtlr,https://gt-rl.github.io/,2021-02-26 23:59:59,UTC-12,"May 4, 2021","Virtually",GRML,2020-09-28 07:59:59,"workshop"
EACL,conf,36,2021,eacl21,https://2021.eacl.org/,2020-10-07 23:59:00,UTC-12,"April 21-23, 2021","Online (Kyiv, Ukraine)",NLP,,
AAMAS,conf,25,2021,aamas21,https://aamas2021.soton.ac.uk/,2020-10-09 23:59:59,UTC-12,"May 3-7, 2021","London, UK",ML,2020-10-02 23:59:59,"<b>NOTE</b>: Mandatory abstract deadline on Oct 02, 2020. More info <a href='https://aamas2021.soton.ac.uk/calls/papers/'>here</a>."
SDM,conf,33,2021,sdm21,https://www.siam.org/conferences/cm/conference/sdm21,2020-10-05 23:59:00,UTC-5,"April 29 - May 1, 2021",Online,DM,,
AISTATS,conf,52,2021,aistats21,https://www.aistats.org/aistats2021/,2020-10-15 08:00:00,America/Los_Angeles,"April 13-15, 2021","San Diego, California, USA",ML,,"<b>NOTE</b>: Mandatory abstract deadline on Oct 8, 2020. More info <a href='http://www.aistats.org/aistats2021/cfp.html'>here</a>."
WWW,conf,70,2021,www21,http://www2021.thewebconf.org/,2020-10-19 23:59:59,UTC-12,"April 19-23, 2021","Ljubljana, Slovenia",DM,,"<b>NOTE</b>: Mandatory abstract deadline on October 12, 2020"
NAACL,conf,90,2021,naacl21,https://2021.naacl.org/,2020-11-23 23:59:00,UTC-12,"June 6-11, 2021","Mexico City, Mexico",NLP,,
ICAPS,conf,28,2021,icaps21,https://icaps21.icaps-conference.org/,2020-12-18 23:59:59,UTC-12,"June 7-12, 2021","Guangzhou, China",ML,2020-12-11 23:59:59,"<b>NOTE</b>: Mandatory abstract deadline on Dec 11, 2020. More info <a href='https://icaps21.icaps-conference.org/'>here</a>."
CHIL,conf,-1,2021,chil21,https://www.chilconference.org/,2021-01-14 23:59:59,UTC-12,"April 8-10, 2021","Online",ML,2021-01-10 23:59:59,
KR2ML @NeurIPS,workshop,,2020,kr2ml20,https://kr2ml.github.io/2020/,2020-10-09 23:59:59, UTC-12,"December 11 2020","Virtual",GRML,,
BioNLP 2021 @ NAACL,workshop,,2021,bionlp21,https://aclweb.org/aclwiki/BioNLP_Workshop,2021-03-21 23:59:00,UTC-5,"June 11, 2021","Mexico City, Mexico",NLP,,
sci-k 2021 @ WWW,workshop,,2021,scik21,https://sci-k.github.io/,2021-01-31 23:59,UTC-12,"April 23 2021","WWW conference",KG,,
IJCAI,conf,67,2021,ijcai21,https://ijcai-21.org/,2021-01-20 23:59:59,UTC-12,"August 21-26, 2021","Montreal, Canada",ML,2021-01-13 23:59:59,
GRLplus @ ICML,workshop,,2020,grlplus20,https://grlplus.github.io/,2020-06-20 23:59:59,UTC-12,"Friday 17 July 2020","Virtual",GRML,,
DRL4KD @ WWW,workshop,,2021,drl4kd21,https://drl4kd.github.io/,2020-02-15,UTC,"April 23 2021","WWW",KG,,"Deep reinforcement learning for knowledge discovery"
SEBILAN @ WWW,workshop,,2021,sebilan21,https://www.sebilanworkshop.com/topics-of-interests/,2020-02-07,UTC,"April 23 2021","WWW",KG,,"Semantics-enabled Biomedical Literature Analytics"
AIHEALTH @ WWW,workshop,,2021,aihealth2021,https://suitclub.ischool.utexas.edu/AIHealthWWW2021/index.html#Topics,2020-02-15,UTC,"April 23 2021","WWW",KG,,
GLB @ WWW,workshop,,2021,glb21,https://graph-learning-benchmarks.github.io/,2020-02-15,UTC,"April 23 2021","WWW",GRML,,